"feature","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"Mmp13","Mmp13",59.5014952383109,5.22950117780822,1.35808521241314,3.85064289781646,0.000117808168737112,0.00371659224390925,"Up"
"Ccl3","Ccl3",31.308971882364,5.1205970673998,0.923499370597485,5.54477591477608,2.94330867203814e-08,3.28939271672529e-05,"Up"
"Try5","Try5",143.503946369475,5.05166594982908,1.327720857733,3.80476507573625,0.000141938838397083,0.00413575792947651,"Up"
"Clec4e","Clec4e",16.3857265246825,4.87294871679846,1.18228651323061,4.12163097715042,3.76199483150383e-05,0.0020020679637023,"Up"
"Kng1","Kng1",226.843084181574,4.39549494164785,1.0759649214438,4.08516565368106,4.40453818793513e-05,0.00212611501305947,"Up"
"Saa3","Saa3",9294.75050494864,3.86676028560687,1.18071885341499,3.27492042193029,0.00105691741660303,0.0140062445395882,"Up"
"Hp","Hp",935.077391641389,3.71385035300951,1.05446198579933,3.52203341896128,0.000428250154035137,0.00791160348222349,"Up"
"Car6","Car6",93.3942332763586,3.5118695134247,0.931302077373264,3.7709241703078,0.000162644094139329,0.00457278814780408,"Up"
"Lcn2","Lcn2",539.806664916028,3.51070924034828,0.851075329199321,4.12502762082306,3.70690267588983e-05,0.00198060843770352,"Up"
"Tnxb","Tnxb",11.4704005758116,3.40529967207528,0.952117245309428,3.57655497666004,0.000348152123718551,0.00698415154719083,"Up"
"Serpinb2","Serpinb2",137.851631724314,3.40133901658057,0.783491536770894,4.34125814632148,1.41669160191564e-05,0.00121797112735724,"Up"
"S100a8","S100a8",18.0101183570175,3.31492270979468,0.884659377753258,3.74711758350823,0.000178878248019934,0.00480362124131024,"Up"
"Serpina3n","Serpina3n",715.33600851599,3.2581417832053,0.846243062860589,3.85012524911185,0.000118057437618771,0.00371659224390925,"Up"
"Il1f9","Il1f9",73.4333287632581,3.17734997348331,0.774852201657217,4.10058843052617,4.12100918797597e-05,0.00206686442144305,"Up"
"Slfn2","Slfn2",12.7166437068033,3.08878495410167,0.804485138626617,3.83945557947126,0.000123307435847097,0.00381911321511644,"Up"
"Gda","Gda",369.182181236123,3.08549187416983,0.776352833414601,3.97434225956133,7.05740163754329e-05,0.00279124776593525,"Up"
"Nos2","Nos2",774.293986276762,3.03354871377393,0.749185563248304,4.04912863059071,5.14086847966125e-05,0.0023277537196112,"Up"
"Kng2","Kng2",2414.16168257536,2.93792809125878,0.827943769625013,3.54846331241722,0.000387485974484671,0.00753126725190423,"Up"
"Gsta1","Gsta1",81.7364418567758,2.92219085608749,0.951942636774782,3.06971317724353,0.00214264432839545,0.0214664433595029,"Up"
"Vnn3","Vnn3",12.8511589337723,2.72378190920727,0.95134356778788,2.86308963599846,0.00419531860507626,0.0327303186810225,"Up"
"Prl2c2","Prl2c2",506.00163177081,2.6978612786688,0.744772568897432,3.62239613988837,0.000291886668290765,0.00632389678262916,"Up"
"Il6","Il6",417.879913163904,2.68768699374445,0.598654876569855,4.48954330606013,7.13760359488469e-06,0.000825193119060332,"Up"
"Prg4","Prg4",988.450841543787,2.66562454807723,0.642429142503949,4.14928958186365,3.33508692698612e-05,0.00186361878240879,"Up"
"Gm3776","Gm3776",11.5837839551334,2.59305986938227,0.828044885807206,3.13154505731228,0.00173889101173851,0.0190534809599067,"Up"
"Mmp3","Mmp3",59.2147127304087,2.57479898229562,0.607204266623592,4.24041648556423,2.23105433764754e-05,0.00151881572193864,"Up"
"Ucma","Ucma",14.1234220847003,-2.54776417377622,0.846841552839625,-3.00854884273578,0.00262498603923874,0.0244300400917632,"Down"
"P2rx3","P2rx3",34.5914118649548,2.50365129153607,0.47817077376571,5.23589359470721,1.64188528021329e-07,8.80772939717616e-05,"Up"
"Itgb7","Itgb7",66.6635777871927,2.47086621848571,0.522359973232149,4.73019822555891,2.24300716784254e-06,0.000436289023539588,"Up"
