feature,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,direction
Zyg11b,2608.380164579231,-0.23550926662185162,0.16680415179737543,-1.41189091568857,0.15798208297646132,0.9599697716983375,False,NS
1110046J04Rik,176.69458124748817,0.29075243743123474,0.26403573907879163,1.101185916897676,0.27081574973714884,0.9599697716983375,False,NS
Zscan29,676.0196631934881,-0.23779309105753155,0.10592282350223303,-2.2449655626156764,0.02477034341517625,0.9599697716983375,False,NS
Zxdb,212.95070710894785,-0.3677902479182991,0.24835939718115926,-1.4808791295705397,0.13863878541718144,0.9599697716983375,False,NS
Zxda,188.65894725054113,-0.4193313826365001,0.22237719599927572,-1.8856761852409805,0.05933860397506904,0.9599697716983375,False,NS
0610009O20Rik,1220.3007689143178,0.1121438595278251,0.07747743152971776,1.4474390453278059,0.1477739967584826,0.9599697716983375,False,NS
Zranb1,766.9866239252551,-0.2033684931299329,0.19789919682742194,-1.0276367786741474,0.3041207169409248,0.9599697716983375,False,NS
Znrf3,670.3965621154919,-0.27734557042628477,0.18433456143524088,-1.504577157245251,0.1324328227167189,0.9599697716983375,False,NS
0610010F05Rik,816.3637229102155,-0.2796720846090983,0.27778596051582793,-1.0067898467214396,0.314035774855014,0.9599697716983375,False,NS
Zyx,21922.585071555684,0.12197718610145043,0.12865646220802662,0.9480844102818842,0.3430864840434418,0.9599697716983375,False,NS
Rpl18a,28919.464287172963,0.14168780079321577,0.1742916881220089,0.8129349271895886,0.4162553680175636,0.9599697716983375,False,NS
Rpl18,14963.631176557357,0.1633868935570992,0.13796648085100413,1.1842506422523573,0.23631386074701188,0.9599697716983375,False,NS
Rpl5,27758.0522178687,0.14693126772758697,0.15965805332402158,0.9202872305438551,0.3574226802482039,0.9599697716983375,False,NS
Rpl41,27578.572533802435,0.12852455658963866,0.12339923229155675,1.0415344909599782,0.2976275541915906,0.9599697716983375,False,NS
1110038F14Rik,933.6285556178913,0.07929395387342988,0.09818077986499103,0.8076321453391129,0.41930237594189634,0.9599697716983375,False,NS
0610012G03Rik,361.41470732638487,0.16316323696405213,0.1605475408367019,1.0162923462652769,0.3094901922123392,0.9599697716983375,False,NS
0610037L13Rik,1037.8645519869945,0.08755517623909385,0.10828376272528378,0.8085716088498106,0.41876160094411474,0.9599697716983375,False,NS
1700001L05Rik,41.472986204971356,-0.8735773461420324,0.3582279661303899,-2.4386073359332947,0.014743979344710568,0.9599697716983375,False,NS
1600027J07Rik,9.366782774899196,1.6101609400047576,0.86522095389994,1.8609823684309055,0.06274666662609542,0.9599697716983375,False,NS
1600012H06Rik,1624.3373742885917,-0.10337822337247587,0.07402892451319659,-1.396457182814366,0.16257686570932073,0.9599697716983375,False,NS
1700028K03Rik,8.129603991413864,-0.9182070190806295,0.6582013725775,-1.3950244671854055,0.16300846149405923,0.9599697716983375,False,NS
Znrd1,719.7846038459255,0.11327087448909332,0.11996498033532267,0.94419950032486,0.3450677105250959,0.9599697716983375,False,NS
Nkap,688.2532279523548,-0.2105955771222877,0.1926552444951181,-1.0931214339593245,0.2743404863137774,0.9599697716983375,False,NS
Nmi,107.94718387911009,-0.39912813523686863,0.22148096237383055,-1.8020877774731408,0.07153159639785904,0.9599697716983375,False,NS
Nme4,321.60842875893894,0.1080842424445896,0.1339285474448873,0.8070291547742438,0.4196496863064174,0.9599697716983375,False,NS
Zufsp,293.9071485577372,-0.22427321606630035,0.19701650594328876,-1.1383473429929645,0.2549754724752532,0.9599697716983375,False,NS
Zswim8,5941.337280970395,0.09243979883784123,0.10103155082202195,0.9149597139282162,0.36021277971386534,0.9599697716983375,False,NS
Zswim6,875.736063309599,-0.3582937046720471,0.19464757830543442,-1.8407303486192093,0.0656610842139557,0.9599697716983375,False,NS
Zswim1,588.9858224364451,0.10224294792467796,0.1286071156658268,0.7950022624747016,0.42661218607575413,0.9599697716983375,False,NS
1110004F10Rik,2762.9234805449146,0.1344629361555099,0.10342098109121964,1.3001514270775534,0.19354907458928927,0.9599697716983375,False,NS
